t,profile_1,profile_2,profile_3,profile_4,profile_5,,,,,,,,,,
0,0,0,0,0,0,,,,,,,,,,
0.005,0,0.001725126,0.000200079,0,0.00126272,,,,,,,,,,
0.01,0,0.003433796,0.000679444,0,0.003075786,,,,,,,,,,
0.015,0,0.005109767,0.001765918,0,0.00608672,,,,,,,,,,
0.02,0,0.006737216,0.002611401,0,0.00859141,,,,,,,,,,
0.025,0,0.008300948,0.001992192,0,0.008134858,,,,,,,,,,
0.03,0,0.009786588,0.002367627,0,0.009628548,,,,,,,,,,
0.035,0,0.011180767249217483,0.002173567,0,0.009937517,,,,,,,,,,
0.04,0,0.012471294,0.002013279,0,0.010262204914860025,,,,,,,,,,
0.045,0,0.013647306470374989,0.002117914,0,0.011059481959369852,,,,,,,,,,
0.05,0,0.014699415,0.00208404,0,0.011517788132689107,,,,,,,,,,
0.055,0,0.015619812995281163,0.002706975,0,0.013223856820780968,,,,,,,,,,
0.06,0,0.016402379845056048,0.002952145,0,0.014105480454658384,,,,,,,,,,
0.065,0,0.017042749635262106,0.002865376,0,0.014252125839647724,,,,,,,,,,
0.07,0,0.017538363525626162,0.002944038,0,0.014657258466474345,,,,,,,,,,
0.075,0,0.017888495,0.002963674,0,0.014871595,,,,,,,,,,
0.08,0,0.018094252127075106,0.003562529,0,0.016172185,,,,,,,,,,
0.085,0,0.018158552461796994,0.003281824,0,0.015642924,,,,,,,,,,
0.09,0,0.018086077,0.003274267,0,0.015591571732144842,,,,,,,,,,
0.095,0,0.017883200337415625,0.002683505,0,0.014308610795216118,,,,,,,,,,
0.1,0,0.017557892863144443,0.001272835,0,0.011324616710921033,,,,,,,,,,
0.105,0,0.017119610044415194,0.001536003,0,0.011631810383029328,,,,,,,,,,
0.11,0,0.016579155466656913,0.001891421,0,0.012072419024968606,,,,,,,,,,
0.115,0,0.015948528509590165,0.001425767,0,0.010825798461446783,,,,,,,,,,
0.12,0,0.015240755713794457,0.002489356,0,0.012599089977203952,,,,,,,,,,
0.125,0,0.014469708554183267,0.001637705,0,0.010510265116784255,,,,,,,,,,
0.13,0,0.013649910088885884,0.001578699,0,0.009982354,,,,,,,,,,
0.135,0,0.012796333101779172,0.001406173,0,0.009210512,,,,,,,,,,
0.14,0,0.011924192471308064,0.002102253,0,0.010166603223033964,,,,,,,,,,
0.145,0,0.011048734575736704,0.00273182,0,0.010988007695779572,,,,,,,,,,
0.15,0,0.010185026584537382,0.002672703,0,0.010437919105481266,,,,,,,,,,
0.155,0,0.009347748,0.002728149,0,0.010130172285513665,,,,,,,,,,
0.16,0,0.008550991,0.002147849,0,0.008571193,,,,,,,,,,
0.165,0,0.00780806,0.001050058,0,0.006004146,,,,,,,,,,
0.17,0,0.007131296,0.000823599,0,0.005212846,,,,,,,,,,
0.17500000000000002,0,0.006531901,0.000860594,0,0.004987138,,,,,,,,,,
0.18,0,0.006019788,0.001432709,0,0.005875312,,,,,,,,,,
0.185,0,0.005603441,0.001962264,0,0.006726248,,,,,,,,,,
0.19,0,0.005289801,0.001670487,0,0.005985875,,,,,,,,,,
0.195,0,0.005084169,0.001435811,0,0.005413707,,,,,,,,,,
0.2,0,0.004990134,0.000839744,0,0.004174555,,,,,,,,,,
0.20500000000000002,0,0.005009521,8.77481449580704e-05,0,0.002680257,,,,,,,,,,
0.21,0,0.00514237,-0.000769774,0,0.001031636,,,,,,,,,,
0.215,0,0.00538693,0.000244102,0,0.003181669,,,,,,,,,,
0.22,0,0.005739686,-2.29E-05,0,0.002823985,,,,,,,,,,
0.225,0,0.006195405,-0.00024082,0,0.002616063,,,,,,,,,,
0.23,0,0.00674721,-0.000855177,0,0.001663252,,,,,,,,,,
0.23500000000000001,0,0.00738667,-0.000423673,0,0.00284599,,,,,,,,,,
0.24,0,0.008103916,-0.001209438,0,0.001633083,,,,,,,,,,
0.245,0,0.00888778,-0.001255336,0,0.001933218,,,,,,,,,,
0.25,0,0.009725943,-0.001640303,0,0.001582366,,,,,,,,,,
0.255,0,0.010605104495097736,-0.001364836,0,0.00257288,,,,,,,,,,
0.26,0,0.011511168132279627,-0.001551997,0,0.00265159,,,,,,,,,,
0.265,0,0.012429431560876043,-0.002064713,0,0.002085289,,,,,,,,,,
0.27,0,0.01334479,-0.001975569,0,0.002721258,,,,,,,,,,
0.275,0,0.014241943311568405,-0.001662624,0,0.003795723,,,,,,,,,,
0.28,0,0.015105607452398603,-0.001546234,0,0.004460335,,,,,,,,,,
0.28500000000000003,0,0.015920724494557937,-0.001317687,0,0.005324989,,,,,,,,,,
0.29,0,0.016672671071146773,-0.001568963,0,0.005198409,,,,,,,,,,
0.295,0,0.017347460807505453,-0.001671886,0,0.005329959,,,,,,,,,,
0.3,0,0.017931938539123733,-0.001924522,0,0.005116926,,,,,,,,,,
0.305,0,0.018413963609896226,-0.002008072,0,0.005190837,,,,,,,,,,
0.31,0,0.018782579768704316,-0.002314242,0,0.004762806,,,,,,,,,,
0.315,0,0.019028169362765114,-0.003061671,0,0.003390743,,,,,,,,,,
0.32,0,0.019142589737722947,-0.002819874,0,0.003931546,,,,,,,,,,
0.325,0,0.019119289994213647,-0.002879771,0,0.003800103,,,,,,,,,,
0.33,0,0.018953406515372376,-0.003550882,0,0.00237494,,,,,,,,,,
0.335,0,0.018641836,-0.003141947,0,0.003037025,,,,,,,,,,
0.34,0,0.018183284767074214,-0.003438498,0,0.002214646,,,,,,,,,,
0.34500000000000003,0,0.017578294369012485,-0.003240601,0,0.002307946,,,,,,,,,,
0.35000000000000003,0,0.016829241968295158,-0.002714025,0,0.00298657,,,,,,,,,,
0.355,0,0.015940317,-0.002513833,0,0.002942493,,,,,,,,,,
0.36,0,0.014917471261594524,-0.001818441,0,0.003821854,,,,,,,,,,
0.365,0,0.013768351,-0.002344932,0,0.002194312,,,,,,,,,,
0.37,0,0.012502197,-0.002026514,0,0.00219807,,,,,,,,,,
0.375,0,0.011129735398926057,-0.002267594,0,0.001029681,,,,,,,,,,
0.38,0,0.009663035,-0.002589612,0,-0.000347707,,,,,,,,,,
0.385,0,0.008115359,-0.002749557,0,-0.001441434,,,,,,,,,,
0.39,0,0.006500993,-0.002767855,0,-0.002285214,,,,,,,,,,
0.395,0,0.00483506,-0.00260138,0,-0.002785229,,,,,,,,,,
0.4,0,0.003133331,-0.003053886,0,-0.004541106,,,,,,,,,,
0.405,0,0.001412014,-0.002450778,0,-0.004195549,,,,,,,,,,
0.41000000000000003,0,-0.000312447,-0.002095408,0,-0.004347039,,,,,,,,,,
0.41500000000000004,0,-0.00202359,-0.002758759,0,-0.006529314,,,,,,,,,,
0.42,0,-0.003705147,-0.001876695,0,-0.005605964,,,,,,,,,,
0.425,0,-0.005341249,-0.000834916,0,-0.004340457,,,,,,,,,,
0.43,0,-0.006916638,-0.00020378,0,-0.00386588,,,,,,,,,,
0.435,0,-0.008416856,-0.000283554,0,-0.004775536,,,,,,,,,,
0.44,0,-0.009828436,-0.000804752,0,-0.006523723,,,,,,,,,,
0.445,0,-0.01113907,-0.000237289,0,-0.006044113,,,,,,,,,,
0.45,0,-0.012337769,-0.000427013,0,-0.00702291,,,,,,,,,,
0.455,0,-0.013414998,0.00020556,0,-0.006296378,,,,,,,,,,
0.46,0,-0.0143628,0.00029942,0,-0.00658256,,,,,,,,,,
0.465,0,-0.015174889,0.000772768,0,-0.006041908,,,,,,,,,,
0.47000000000000003,0,-0.01584673,0.000912313,0,-0.006098739,,,,,,,,,,
0.47500000000000003,0,-0.016375588,0.001219984,0,-0.005747826,,,,,,,,,,
0.48,0,-0.016760557,0.001164235,0,-0.006051809,,,,,,,,,,
0.485,0,-0.017002564,0.001998958,0,-0.004503366,,,,,,,,,,
0.49,0,-0.017104347,0.001962466,0,-0.004627241,,,,,,,,,,
0.495,0,-0.017070408,0.002065338,0,-0.004404529,,,,,,,,,,
0.5,0,-0.016906949,0.002903646,0,-0.002646182,,,,,,,,,,
0.505,0,-0.016621773,0.002084584,0,-0.004141718,,,,,,,,,,
0.51,0,-0.016224177,0.001345113,0,-0.005421863,,,,,,,,,,
0.515,0,-0.015724815,0.001762555,0,-0.004337297,,,,,,,,,,
0.52,0,-0.015135548,0.001087866,0,-0.005392042,,,,,,,,,,
0.525,0,-0.014469278,0.002005283,0,-0.003224073,,,,,,,,,,
0.53,0,-0.013739763,0.00169821,0,-0.003473462,,,,,,,,,,
0.535,0,-0.012961429,0.001239572,0,-0.004001571,,,,,,,,,,
0.54,0,-0.012149165,0.002139064,0,-0.001796454,,,,,,,,,,
